lr,seed,tau_grok,T_eff_proxy
0.0005,0,23075.0,9.568955870731256e-15
0.0005,1,17750.0,1.8601270697360395e-15
0.0005,2,12275.0,2.6386217429758002e-15
0.001,0,12350.0,5.3085873370772856e-15
0.001,1,7500.0,3.715021346106795e-15
0.001,2,8175.0,5.210787096948666e-15
0.002,0,8050.0,1.2781480734913586e-14
0.002,1,5425.0,1.0281889922802987e-14
0.002,2,4500.0,1.1533901438098847e-14
0.004,0,2850.0,2.9337320767153234e-14
0.004,1,3350.0,2.4086271172008013e-14
0.004,2,2975.0,2.554265132737044e-14
0.008,0,,
0.008,1,,
0.008,2,,
